Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money,BClass
93,1,0,0,1.0986122886681098,2,1,0,0,1.0986122886681098,8,1,10.0,0
12,1,1,3,1.0986122886681098,2,0,1,1,0.6931471805599453,0,1,12.0,0
116,1,0,1,1.0986122886681098,0,2,0,1,1.3862943611198906,6,2,15.0,0
43,1,0,1,0.6931471805599453,1,2,0,0,0.6931471805599453,0,1,10.0,0
16,0,0,2,1.0986122886681098,2,2,0,0,0.6931471805599453,2,1,20.0,1
102,1,0,1,1.0986122886681098,0,2,1,1,1.3862943611198906,7,2,15.0,0
3,1,1,1,0.6931471805599453,1,0,0,0,0.6931471805599453,1,0,4.0,0
87,1,0,0,1.0986122886681098,2,2,0,0,0.6931471805599453,0,0,2.0,1
107,0,0,3,1.0986122886681098,0,2,0,0,0.6931471805599453,0,2,30.0,0
39,0,0,2,1.0986122886681098,2,1,0,0,1.0986122886681098,5,1,0.0,1
1,1,0,0,1.0986122886681098,2,1,0,0,0.6931471805599453,5,1,15.0,0
86,2,1,3,0.6931471805599453,0,0,1,0,0.6931471805599453,0,0,15.0,0
151,1,1,0,1.0986122886681098,1,0,1,1,0.6931471805599453,0,1,0.0,0
56,0,1,2,0.6931471805599453,1,1,0,0,0.6931471805599453,0,1,25.0,0
160,0,1,1,0.6931471805599453,1,0,1,0,0.6931471805599453,0,1,0.0,0
123,1,0,2,1.0986122886681098,2,1,1,1,0.6931471805599453,0,2,39.5,0
41,1,1,0,1.0986122886681098,2,0,1,0,0.6931471805599453,1,1,15.0,0
146,1,0,1,1.0986122886681098,0,2,0,1,1.3862943611198906,2,1,15.0,1
121,0,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,3,0,3.0,0
46,1,0,2,1.0986122886681098,0,1,0,0,0.6931471805599453,3,1,28.0,0
85,0,0,0,1.0986122886681098,2,0,0,0,0.6931471805599453,1,0,3.0,1
165,0,1,0,0.6931471805599453,2,0,0,0,0.6931471805599453,0,1,0.0,1
29,1,0,1,1.0986122886681098,0,2,0,1,1.3862943611198906,5,1,12.0,1
62,1,0,2,1.0986122886681098,2,1,0,1,1.0986122886681098,5,1,7.0,1
42,0,0,3,1.0986122886681098,1,2,0,0,0.6931471805599453,4,1,7.0,1
84,0,0,0,1.0986122886681098,1,1,0,0,0.6931471805599453,3,1,30.0,1
106,1,0,1,1.0986122886681098,2,0,0,0,1.0986122886681098,2,1,15.0,1
131,1,1,1,1.0986122886681098,0,2,1,1,1.3862943611198906,10,2,15.0,1
127,0,0,1,1.0986122886681098,0,2,0,0,1.3862943611198906,0,1,0.0,0
48,0,0,3,0.6931471805599453,1,0,0,0,1.0986122886681098,3,0,39.5,1
61,0,0,3,0.6931471805599453,0,1,0,0,1.3862943611198906,7,0,10.0,1
11,1,0,0,0.6931471805599453,1,2,0,0,0.6931471805599453,2,0,15.0,0
162,2,1,3,0.6931471805599453,0,0,0,0,0.6931471805599453,0,0,20.0,1
